City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
178,talnakh,69.4865,88.3972,-23.22,99,100,2.28,RU,1675713441
179,lavrentiya,65.5833,-171.0,-26.5,88,100,2.12,RU,1675713574
180,horsham,51.064,-0.3272,6.25,76,0,1.03,GB,1675713374
181,kapit,2.0167,112.9333,23.05,99,100,0.8,MY,1675713575
182,faya,18.3851,42.4509,14.06,63,100,1.47,SA,1675713575
183,encruzilhada do sul,-30.5439,-52.5219,29.8,34,39,2.35,BR,1675713496
184,erenhot,43.6475,111.9767,-8.22,91,100,3.54,CN,1675713576
185,puerto carreno,6.189,-67.4859,29.99,58,90,4.12,CO,1675713577
186,kozhva,65.1073,57.0459,-22.34,100,93,1.93,RU,1675713577
187,tlalnepantla,19.5269,-99.2217,25.31,15,33,2.45,MX,1675713578
188,porterville,36.0652,-119.0168,11.51,81,100,0.0,US,1675713487
189,anadyr,64.75,177.4833,-26.67,75,75,5.0,RU,1675713578
190,chuy,-33.6971,-53.4616,27.17,46,100,4.41,UY,1675713578
191,horve,55.7529,11.453,-0.04,88,4,3.53,DK,1675713579
192,uruzgan,32.8333,66.0,2.29,54,39,3.6,AF,1675713579
193,esil,51.9556,66.4042,-14.09,97,87,2.73,KZ,1675713580
194,cotonou,6.3654,2.4183,28.99,79,20,6.17,BJ,1675713545
195,tupiza,-21.45,-65.7167,16.79,51,99,4.55,BO,1675713580
196,santa cruz del norte,23.1539,-81.9236,26.28,69,14,5.62,CU,1675713581
197,sagua la grande,22.8067,-80.0756,28.53,53,22,5.53,CU,1675713581
198,tiznit,29.5833,-9.5,10.55,69,7,1.32,MA,1675713581
199,magadan,59.5667,150.8,-27.06,79,66,3.65,RU,1675713582
200,victoria,22.2855,114.1577,20.53,90,98,4.02,HK,1675713426
201,balabac,7.9868,117.0645,26.18,83,77,3.92,PH,1675713582
202,paamiut,61.994,-49.6678,-11.01,82,100,2.3,GL,1675713583
203,cartagena,10.3997,-75.5144,30.79,66,20,7.2,CO,1675713318
204,katsuura,35.1333,140.3,10.19,65,100,2.36,JP,1675713583
205,sarangani,5.4033,125.4636,26.88,76,100,3.64,PH,1675713584
206,xichang,27.8964,102.2634,6.02,61,4,1.37,CN,1675713584
207,bubaque,11.2833,-15.8333,24.52,68,5,9.51,GW,1675713585
208,saint-augustin,51.226,-58.6502,-14.72,77,86,3.29,CA,1675713585
209,fuling,29.7022,107.3919,13.04,69,91,0.93,CN,1675713585
210,vallenar,-28.5708,-70.7581,30.55,35,0,4.83,CL,1675713586
211,ilulissat,69.2167,-51.1,-21.54,98,100,2.17,GL,1675713586
212,ruwi,23.5996,58.5507,22.28,58,77,0.47,OM,1675713587
213,villarrica,-25.75,-56.4333,38.14,17,16,1.35,PY,1675713587
214,luderitz,-26.6481,15.1594,18.37,90,9,5.96,NA,1675713588
215,panguna,-6.3164,155.4848,20.17,95,100,0.98,PG,1675713588
216,phan thong,13.468,101.0953,27.79,83,45,3.09,TH,1675713588
217,muromtsevo,56.3724,75.2418,-14.01,98,100,1.87,RU,1675713589
218,ibra,22.6906,58.5334,19.91,55,34,0.6,OM,1675713589
219,mersing,2.4312,103.8405,24.34,90,100,4.03,MY,1675713590
220,saskylakh,71.9167,114.0833,-30.08,100,99,1.65,RU,1675713590
221,tautira,-17.7333,-149.15,26.82,76,44,6.82,PF,1675713399
222,lasa,46.6166,10.7002,2.49,96,89,1.65,IT,1675713590
